file,source,rights
before_001.jpg,repo assets/before Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
before_002.jpg,repo assets/before Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
before_003.jpg,repo assets/before Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
before_004.jpg,repo assets/before Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
before_005.jpg,repo assets/before Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
before_006.jpg,repo assets/before Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
before_007.jpg,repo assets/before Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
before_008.jpg,repo assets/before Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
before_009.jpg,repo assets/before Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
before_010.jpg,repo assets/before Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
before_011.jpg,repo assets/before Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
before_012.jpg,repo assets/before Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
before_013.jpg,repo assets/before Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
before_014.jpg,repo assets/before Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
before_015.jpg,repo assets/before Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
before_016.jpg,repo assets/before Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
before_017.jpg,repo assets/before Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_018.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_019.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_020.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_021.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_022.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_023.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_024.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_025.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_026.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_027.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_028.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_029.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_030.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_031.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_032.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_033.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_034.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_035.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_036.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_037.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_038.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_039.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_040.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_041.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_042.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_043.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_044.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_045.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_046.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_047.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_048.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_049.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_050.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_051.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_052.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_053.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_054.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_055.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_056.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_057.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_058.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_059.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_060.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_061.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_062.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_063.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_064.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_065.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_066.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_067.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_068.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_069.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_070.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_071.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_072.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_073.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_074.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_075.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_076.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_077.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_078.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_079.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
after_080.jpg,repo assets/after Instagram screenshot crop,client-owned social post; cropped to photo rectangle only
salem_video_before.jpg,repo assets/films/61 Salem St Split Screen frame crop,client-owned prior film; split-screen crop to real property plate
salem_video_after.jpg,repo assets/films/61 Salem St Split Screen frame crop,client-owned prior film; split-screen crop to real property plate
salem_clean_before.jpg,repo assets/films/61 Salem St Split Screen frame crop,client-owned prior film; split-screen crop to real property plate
salem_clean_after.jpg,repo assets/films/61 Salem St Split Screen frame crop,client-owned prior film; split-screen crop to real property plate
assets/heroes/01_river_street_hillsdale.jpg,shavitrootman.com repo,client-owned
assets/heroes/02_34_mead_street_hillsdale.jpg,shavitrootman.com repo,client-owned
assets/heroes/03_2217_parkview_south_bend.jpg,shavitrootman.com repo,client-owned
assets/heroes/04_cleveland_heights.jpg,shavitrootman.com repo,client-owned
assets/heroes/05_west_side_cleveland.jpg,shavitrootman.com repo,client-owned
assets/heroes/06_61_salem_street_hillsdale.jpg,shavitrootman.com repo,client-owned
