file,kind,property,state,confidence,hygiene
before_001.jpg,before,UNKNOWN,UNKNOWN,LOW,ig-chrome (chevrons); black-bars; adjacent-photo sliver top; NOTE: house number 61 but pebbledash/Tudor facade CONFLICTS with 61 Salem hero+film — confirm with Shavit; pairs with after_050
before_002.jpg,before,UNKNOWN,UNKNOWN,LOW,ig-chrome (chevrons + dots); black-bars (navy frame); adjacent-photo sliver top
before_003.jpg,before,UNKNOWN,UNKNOWN,LOW,black-bars (black right edge + dark frame); adjacent-photo sliver top
before_004.jpg,before,River Street,MI,HIGH,ig-chrome (chevrons + dots + red sliver left); black-bars; next-photo sliver bottom
before_005.jpg,before,River Street,MI,HIGH,ig-chrome (chevrons + dots + red sliver left); black-bars; next-photo sliver bottom
before_006.jpg,before,River Street,MI,HIGH,"ig-chrome (chevron + dots + red sliver); baked-caption (MLS watermark ""MichRIC"" bottom-left — licensing risk); black-bars; thumbnail sliver bottom"
before_007.jpg,before,UNKNOWN,UNKNOWN,LOW,desktop-text (grey window-chrome bar top); black-bars (navy bands); adjacent-photo sliver top-right
before_008.jpg,before,UNKNOWN,UNKNOWN,LOW,desktop-text (grey window-chrome bar top); black-bars (navy bands); adjacent-photo sliver top-right
before_009.jpg,before,61 Salem,MI,LOW,ig-chrome (chevrons); black-bars (black frame top/right)
before_010.jpg,before,61 Salem,MI,LOW,ig-chrome (chevrons + dots); desktop-text (grey bar top); black-bars (navy bands); adjacent-photo sliver top-right
before_011.jpg,before,UNKNOWN,UNKNOWN,LOW,ig-chrome (chevron + dots); black-bars; thumbnail strip sliver bottom
before_012.jpg,before,UNKNOWN,UNKNOWN,LOW,ig-chrome (chevrons + dots + red sliver left); black-bars (navy top band); adjacent-photo sliver top-right; NOTE: grey cinderblock 2-story rear — construction matches 2217 Parkview painted-block; IN-before CANDIDATE pending Shavit confirm
before_013.jpg,before,UNKNOWN,UNKNOWN,LOW,ig-chrome (chevrons + red sliver left); black-bars (navy top band); adjacent-photo sliver top-right; NOTE: same cinderblock house as before_012 — Parkview IN-before CANDIDATE
before_014.jpg,before,UNKNOWN,UNKNOWN,LOW,ig-chrome (chevron + dots + red sliver left); black-bars (navy top band); adjacent-photo sliver top-right
before_015.jpg,before,UNKNOWN,UNKNOWN,LOW,ig-chrome (chevrons); desktop-text (grey window-chrome bar top); black-bars (navy bands); adjacent-photo sliver top-right
before_016.jpg,before,UNKNOWN,UNKNOWN,LOW,"ig-chrome (dots); desktop-text (macOS window title ""Personal Jarvis"" bottom-right — PRIVACY LEAK); thumbnail strip sliver bottom"
before_017.jpg,before,UNKNOWN,UNKNOWN,LOW,ig-chrome (chevron + dots); black-bars (navy/black frame); adjacent-photo slivers top+bottom
after_018.jpg,after,61 Salem,MI,HIGH,ig-chrome (chevron + red badge sliver); adjacent grid-photo strip top
after_019.jpg,after,61 Salem,MI,MED,ig-chrome (chevrons + dots + red badge sliver); adjacent-photo slivers top/bottom
after_020.jpg,after,61 Salem,MI,HIGH,ig-chrome (chevrons + dots + red badge sliver); photo-grid sliver bottom
after_021.jpg,after,61 Salem,MI,MED,ig-chrome (chevrons + dots); photo-grid sliver bottom
after_022.jpg,after,61 Salem,MI,MED,ig-chrome (chevrons + dots + red badge sliver); photo-grid sliver bottom
after_023.jpg,before,61 Salem,MI,MED,MISFILED before-state photo; ig-chrome (chevrons + red badge sliver); adjacent photo strip top
